label	time	avgTime	count	avgCount	maxTime
Update	1271	24.442308	52	1.000000	98
Tick1	15	0.288462	52	1.000000	1
UpdateDirty1	523	10.057693	52	1.000000	76
HitTest	659	12.673077	52	1.000000	53
HitTest1	75	1.442308	52	1.000000	4
Tick2	24	0.461538	52	1.000000	4
UpdateDirty2	15	0.288462	52	1.000000	1
label	time	avgTime	count	avgCount	maxTime
Update	0	-nan(ind)	0	-nan(ind)	0
Tick1	0	-nan(ind)	0	-nan(ind)	0
UpdateDirty1	0	-nan(ind)	0	-nan(ind)	0
HitTest	0	-nan(ind)	0	-nan(ind)	0
HitTest1	0	-nan(ind)	0	-nan(ind)	0
Tick2	0	-nan(ind)	0	-nan(ind)	0
UpdateDirty2	0	-nan(ind)	0	-nan(ind)	0
label	time	avgTime	count	avgCount	maxTime
Update	559492	217.870712	2568	1.000000	5717
Tick1	6727	2.619548	2568	1.000000	979
UpdateDirty1	45406	17.681463	2568	1.000000	1280
HitTest	497550	193.750000	2568	1.000000	5687
HitTest1	4680	1.822430	2568	1.000000	726
Tick2	5461	2.126558	2568	1.000000	90
UpdateDirty2	2564	0.998442	2568	1.000000	1433
label	time	avgTime	count	avgCount	maxTime
Update	6081	264.391296	23	1.000000	464
Tick1	60	2.608696	23	1.000000	5
UpdateDirty1	360	15.652174	23	1.000000	23
HitTest	5580	242.608688	23	1.000000	436
HitTest1	36	1.565217	23	1.000000	3
Tick2	50	2.173913	23	1.000000	4
UpdateDirty2	9	0.391304	23	1.000000	1
label	time	avgTime	count	avgCount	maxTime
Update	4055	225.277771	18	1.000000	914
Tick1	6	0.333333	18	1.000000	1
UpdateDirty1	343	19.055555	18	1.000000	89
HitTest	3664	203.555557	18	1.000000	894
HitTest1	37	2.055556	18	1.000000	5
Tick2	24	1.333333	18	1.000000	3
UpdateDirty2	9	0.500000	18	1.000000	2
label	time	avgTime	count	avgCount	maxTime
Update	11211	747.400024	63	4.200000	1405
Tick1	14	0.933333	63	4.200000	1
UpdateDirty1	765	51.000000	63	4.200000	20
HitTest	10287	685.799988	63	4.200000	1383
HitTest1	185	12.333333	63	4.200000	68
Tick2	78	5.200000	63	4.200000	3
UpdateDirty2	23	1.533333	63	4.200000	2
label	time	avgTime	count	avgCount	maxTime
Update	12518	201.903229	62	1.000000	1286
Tick1	17	0.274194	62	1.000000	1
UpdateDirty1	738	11.903226	62	1.000000	29
HitTest	11622	187.451614	62	1.000000	1262
HitTest1	118	1.903226	62	1.000000	6
Tick2	81	1.306452	62	1.000000	4
UpdateDirty2	25	0.403226	62	1.000000	1
label	time	avgTime	count	avgCount	maxTime
Update	9910	173.859650	57	1.000000	337
Tick1	16	0.280702	57	1.000000	1
UpdateDirty1	708	12.421053	57	1.000000	25
HitTest	9043	158.649124	57	1.000000	308
HitTest1	125	2.192982	57	1.000000	4
Tick2	77	1.350877	57	1.000000	3
UpdateDirty2	22	0.385965	57	1.000000	1
label	time	avgTime	count	avgCount	maxTime
Update	9811	208.744675	47	1.000000	317
Tick1	21	0.446809	47	1.000000	1
UpdateDirty1	712	15.148936	47	1.000000	23
HitTest	8943	190.276596	47	1.000000	288
HitTest1	124	2.638298	47	1.000000	5
Tick2	80	1.702128	47	1.000000	3
UpdateDirty2	20	0.425532	47	1.000000	1
label	time	avgTime	count	avgCount	maxTime
Update	10040	185.925919	54	1.000000	309
Tick1	19	0.351852	54	1.000000	1
UpdateDirty1	762	14.111111	54	1.000000	25
HitTest	9120	168.888885	54	1.000000	291
HitTest1	127	2.351852	54	1.000000	4
Tick2	76	1.407407	54	1.000000	3
UpdateDirty2	18	0.333333	54	1.000000	1
label	time	avgTime	count	avgCount	maxTime
Update	129552	696.516113	186	1.000000	1401
Tick1	69	0.370968	186	1.000000	1
UpdateDirty1	3785	20.349463	186	1.000000	93
HitTest	124478	669.236572	186	1.000000	1359
HitTest1	635	3.413979	186	1.000000	7
Tick2	905	4.865592	186	1.000000	24
UpdateDirty2	149	0.801075	186	1.000000	2
label	time	avgTime	count	avgCount	maxTime
Update	10378	691.866638	15	1.000000	1109
Tick1	5	0.333333	15	1.000000	1
UpdateDirty1	285	19.000000	15	1.000000	30
HitTest	9989	665.933350	15	1.000000	1071
HitTest1	54	3.600000	15	1.000000	5
Tick2	70	4.666667	15	1.000000	12
UpdateDirty2	12	0.800000	15	1.000000	2
label	time	avgTime	count	avgCount	maxTime
Update	27317	1517.611084	18	1.000000	2002
Tick1	3	0.166667	18	1.000000	1
UpdateDirty1	174	9.666667	18	1.000000	13
HitTest	27078	1504.333374	18	1.000000	1988
HitTest1	93	5.166667	18	1.000000	7
Tick2	17	0.944444	18	1.000000	2
UpdateDirty2	27	1.500000	18	1.000000	2
label	time	avgTime	count	avgCount	maxTime
Update	23010	1438.125000	16	1.000000	1662
Tick1	5	0.312500	16	1.000000	1
UpdateDirty1	162	10.125000	16	1.000000	15
HitTest	22782	1423.875000	16	1.000000	1649
HitTest1	78	4.875000	16	1.000000	6
Tick2	13	0.812500	16	1.000000	1
UpdateDirty2	25	1.562500	16	1.000000	2
label	time	avgTime	count	avgCount	maxTime
Update	0	0.000000	0	0.000000	0
Tick1	0	0.000000	0	0.000000	0
UpdateDirty1	0	0.000000	0	0.000000	0
HitTest	0	0.000000	0	0.000000	0
HitTest1	0	0.000000	0	0.000000	0
Tick2	0	0.000000	0	0.000000	0
UpdateDirty2	0	0.000000	0	0.000000	0
label	time	avgTime	count	avgCount	maxTime
Update	33566	1398.583374	24	1.000000	1851
Tick1	9	0.375000	24	1.000000	1
UpdateDirty1	227	9.458333	24	1.000000	13
HitTest	33257	1385.708374	24	1.000000	1838
HitTest1	116	4.833333	24	1.000000	10
Tick2	21	0.875000	24	1.000000	2
UpdateDirty2	32	1.333333	24	1.000000	3
label	time	avgTime	count	avgCount	maxTime
Update	17099	1424.916626	12	1.000000	1998
Tick1	4	0.333333	12	1.000000	1
UpdateDirty1	117	9.750000	12	1.000000	13
HitTest	16937	1411.416626	12	1.000000	1981
HitTest1	58	4.833333	12	1.000000	6
Tick2	12	1.000000	12	1.000000	1
UpdateDirty2	20	1.666667	12	1.000000	3
label	time	avgTime	count	avgCount	maxTime
Update	12111	1513.875000	8	1.000000	2201
Tick1	6	0.750000	8	1.000000	1
UpdateDirty1	82	10.250000	8	1.000000	14
HitTest	11997	1499.625000	8	1.000000	2189
HitTest1	43	5.375000	8	1.000000	6
Tick2	8	1.000000	8	1.000000	1
UpdateDirty2	14	1.750000	8	1.000000	3
label	time	avgTime	count	avgCount	maxTime
Update	0	-nan(ind)	0	-nan(ind)	0
Tick1	0	-nan(ind)	0	-nan(ind)	0
UpdateDirty1	0	-nan(ind)	0	-nan(ind)	0
HitTest	0	-nan(ind)	0	-nan(ind)	0
HitTest1	0	-nan(ind)	0	-nan(ind)	0
Tick2	0	-nan(ind)	0	-nan(ind)	0
UpdateDirty2	0	-nan(ind)	0	-nan(ind)	0
label	time	avgTime	count	avgCount	maxTime
Update	73212	1016.833313	72	1.000000	1758
Tick1	784	10.888889	72	1.000000	27
UpdateDirty1	6133	85.180557	72	1.000000	173
HitTest	65472	909.333313	72	1.000000	1693
HitTest1	545	7.569445	72	1.000000	24
Tick2	476	6.611111	72	1.000000	39
UpdateDirty2	157	2.180556	72	1.000000	8
label	time	avgTime	count	avgCount	maxTime
Update	445312	989.582214	450	1.000000	2275
Tick1	5031	11.180000	450	1.000000	43
UpdateDirty1	36507	81.126663	450	1.000000	189
HitTest	399075	886.833313	450	1.000000	2170
HitTest1	3212	7.137778	450	1.000000	36
Tick2	2697	5.993333	450	1.000000	58
UpdateDirty2	964	2.142222	450	1.000000	18
label	time	avgTime	count	avgCount	maxTime
Update	531279	987.507446	538	1.000000	2565
Tick1	6084	11.308550	538	1.000000	75
UpdateDirty1	44149	82.061340	538	1.000000	232
HitTest	475492	883.814148	538	1.000000	2368
HitTest1	3887	7.224907	538	1.000000	41
Tick2	3128	5.814126	538	1.000000	30
UpdateDirty2	1109	2.061338	538	1.000000	22
label	time	avgTime	count	avgCount	maxTime
Update	2342938	8519.774414	275	1.000000	22577
Tick1	132	0.480000	275	1.000000	3
UpdateDirty1	8600	31.272728	275	1.000000	105
HitTest	2331865	8479.508789	275	1.000000	22464
HitTest1	4541	16.512728	275	1.000000	87
Tick2	1138	4.138182	275	1.000000	59
UpdateDirty2	631	2.294545	275	1.000000	22
label	time	avgTime	count	avgCount	maxTime
Update	3008630	176978.234375	372	21.882353	18426
Tick1	166	9.764706	372	21.882353	3
UpdateDirty1	10876	639.764709	372	21.882353	104
HitTest	2994224	176130.828125	372	21.882353	18357
HitTest1	6409	377.000000	372	21.882353	104
Tick2	1569	92.294121	372	21.882353	25
UpdateDirty2	981	57.705883	372	21.882353	43
label	time	avgTime	count	avgCount	maxTime
Update	16075194	38002.824219	2527	5.973995	16894
Tick1	1547	3.657210	2527	5.973995	24
UpdateDirty1	155867	368.479919	2527	5.973995	1416
HitTest	15896223	37579.722656	2527	5.973995	16831
HitTest1	33377	78.905434	2527	5.973995	248
Tick2	11862	28.042553	2527	5.973995	68
UpdateDirty2	4957	11.718677	2527	5.973995	17
label	time	avgTime	count	avgCount	maxTime
Update	1192022	6549.571289	182	1.000000	11914
Tick1	98	0.538462	182	1.000000	3
UpdateDirty1	6021	33.082417	182	1.000000	330
HitTest	1184435	6507.884766	182	1.000000	11885
HitTest1	2210	12.142858	182	1.000000	66
Tick2	808	4.439560	182	1.000000	24
UpdateDirty2	335	1.840659	182	1.000000	12
